"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"310M600US36780","Oshkosh-Neenah, WI Metro Area","171730",
"310M600US36980","Owensboro, KY Metro Area","121559",
"310M600US37100","Oxnard-Thousand Oaks-Ventura, CA Metro Area","843843",
"310M600US37340","Palm Bay-Melbourne-Titusville, FL Metro Area","606612",
"310M600US37460","Panama City, FL Metro Area","175216",
"310M600US37620","Parkersburg-Vienna, WV Metro Area","89490",
"310M600US37860","Pensacola-Ferry Pass-Brent, FL Metro Area","509905",
"310M600US37900","Peoria, IL Metro Area","402391",
"310M600US37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6245051",
"310M600US38060","Phoenix-Mesa-Chandler, AZ Metro Area","4845832",
"310M600US38220","Pine Bluff, AR Metro Area","87751",
"310M600US38300","Pittsburgh, PA Metro Area","2370930",
"310M600US38340","Pittsfield, MA Metro Area","129026",
"310M600US38540","Pocatello, ID Metro Area","94896",
"310M600US38660","Ponce, PR Metro Area","224142",
"310M600US38860","Portland-South Portland, ME Metro Area","551740",
"310M600US38900","Portland-Vancouver-Hillsboro, OR-WA Metro Area","2512859",
"310M600US38940","Port St. Lucie, FL Metro Area","487657",
"310M600US39100","Poughkeepsie-Newburgh-Middletown, NY Metro Area","697221",
"310M600US39150","Prescott Valley-Prescott, AZ Metro Area","236209",
"310M600US39300","Providence-Warwick, RI-MA Metro Area","1676579",
"310M600US39340","Provo-Orem, UT Metro Area","671185",
"310M600US39380","Pueblo, CO Metro Area","168162",
"310M600US39460","Punta Gorda, FL Metro Area","186847",
"310M600US39540","Racine, WI Metro Area","197727",
"310M600US39580","Raleigh-Cary, NC Metro Area","1413982",
"310M600US39660","Rapid City, SD Metro Area","139074",
"310M600US39740","Reading, PA Metro Area","428849",
"310M600US39820","Redding, CA Metro Area","182155",
"310M600US39900","Reno, NV Metro Area","490596",
"310M600US40060","Richmond, VA Metro Area","1314434",
"310M600US40140","Riverside-San Bernardino-Ontario, CA Metro Area","4599839",
"310M600US40220","Roanoke, VA Metro Area","315251",
"310M600US40340","Rochester, MN Metro Area","226329",
"310M600US40380","Rochester, NY Metro Area","1090135",
"310M600US40420","Rockford, IL Metro Area","338798",
"310M600US40580","Rocky Mount, NC Metro Area","143870",
"310M600US40660","Rome, GA Metro Area","98584",
"310M600US40900","Sacramento-Roseville-Folsom, CA Metro Area","2397382",
"310M600US40980","Saginaw, MI Metro Area","190124",
"310M600US41060","St. Cloud, MN Metro Area","199671",
"310M600US41100","St. George, UT Metro Area","180279",
"310M600US41140","St. Joseph, MO-KS Metro Area","121467",
"310M600US41180","St. Louis, MO-IL Metro Area","2820253",
"310M600US41420","Salem, OR Metro Area","433353",
"310M600US41500","Salinas, CA Metro Area","439035",
"310M600US41540","Salisbury, MD-DE Metro Area","418046",
"310M600US41620","Salt Lake City, UT Metro Area","1257936",
"310M600US41660","San Angelo, TX Metro Area","122888",
"310M600US41700","San Antonio-New Braunfels, TX Metro Area","2558143",
"310M600US41740","San Diego-Chula Vista-Carlsbad, CA Metro Area","3298634",
"310M600US41860","San Francisco-Oakland-Berkeley, CA Metro Area","4749008",
"310M600US41900","San Germán, PR Metro Area","125100",
"310M600US41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area","2000468",
"310M600US41980","San Juan-Bayamón-Caguas, PR Metro Area","2081265",
"310M600US42020","San Luis Obispo-Paso Robles, CA Metro Area","282424",
